instancia_id,server_id
dffe799b,CAGENPRD06_I06
e5a54516,CAGENPRD07_I07
e8800eed,OATXP01
efb5f723,SCCM2012P01
f9c23964,SQLHDSGENPRD01_I01
f1e83fc7,SQLHDSGENPRD02_I01
4720a4e3,SQLHDSPRD013_I03
0b2d1ae2,SQLHDSPRD014_I03
5de863fa,SQLHDSPRD023_I01
8556bf92,SQLHDSPRD024_I01
21879179,SQLHDSPRD201_I01
e625489e,SQLHDSPRD202_I01
7d56b141,SQLHDSPRD211_I01
d9309665,SQLHDSPRD212_I01
95266fd0,SQLHDSPRD213_I01
86924999,SQLHDSPRD214_I01
5f1a8edf,SQLHDSPRD301_I01
8ceeac2d,SQLHDSPRD302_I01
0091da25,SQLHDSPRD401_I01
71a49a40,SQLHDSPRD402_I01
28b5d971,SQLHDSPRD403_I01
63d61a8f,SQLHDSPRD404_I01
6f2fd202,SQLHDSPRD405_I01
38fd9a68,SQLHDSPRD406_I01
e18742b6,SQLHDSPRD407_I01
98fef372,SQLHDSPRD408_I01
48459d20,SQLHDSPRD411_I01
bdd04bbc,SQLHDSPRD412_I01
0744010a,SQLHDSQLT014_I03
bc233bc2,SQLHDSQLT023_I01
b3b096bb,SQLHDSQLT103_I01
4e747d92,SQLHDSQLT103_SQLIJSQLT03
c085449f,SQLHDSQLT105_I01
82d8ef95,SQLHDSQLT105_I03
bf770d38,SQLHDSQLT105_I05
cfa5adf9,SQLHDSQLT105_I07
6ef02feb,SQLHDSQLT211_I01
0efb50e3,SQLHDSQLT301_I02
2aaf67f3,SQLHDSQLT401_I01
63e68dea,SQLHDSREVPRD03_I01
b55f3914,SQLHDSSQLT301_I01
80ec554e,SQLHDSTST023_I01
18cebf0e,SQLHDSTST103_I01
2a2b029e,SQLHDSTST105_I01
be9c0693,SQLHDSTST505_I01
f02cf1e0,SQLIDSPRD03_I01
28b7ae62,SQLIJSPRD03
d3266c11,SQLIJSPRD05_I03
6dcd364f,SQLMDMDEV03_I01
45ffa11f,SQLMDMDEV05_I01
12b19a9d,SQLMDMPRD01_I01
5bfe4574,SQLMDMPRD02_I01
a70fda9a,SQLMDMPRD03_I01
663fff05,SQLMDMPRD04_I01
90594341,SQLMDMQLT03_I01
721b8407,SQLMDMQLT05_I01
26b44e97,SQLRPAPRD01_I01
dba77ed7,SQLRPAPRD02_I01
5c52f571,SQLSAGEPRD03_I01
cf343905,SQLSAGEPRD04_I01
cdd03f9f,SQLSAGETST03_I01
00803574,SQLSCOMINSTP03_I03
a6f8e23a,SQLSCOMINSTP04_I04
